Price,Prop_type,Size,Bath,Bed,City,Division
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
490000,1,85,1,2,   Oeiras, Oeiras e São Julião da Barra
360000,1,110,2,3,   Odivelas, Pontinha e Famões  
389000,1,233,3,3,   Vila Franca de Xira, Vila Franca de Xira  
185000,1,148,2,3,   Cadaval, Vilar  
220000,1,167,2,2,   Torres Vedras, Ramalhal  
120000,1,127,1,2,   Torres Vedras, Ponte do Rol  
275000,1,120,2,3,   Torres Vedras, Ventosa  
540000,1,232,2,3,   Odivelas, Ramada e Caneças  
291500,1,85,2,2,   Sintra, AlgueirãoMem Martins  
280000,1,114,1,2,   Sobral de Monte Agraço, Sobral de Monte Agraço  
798000,1,181,4,3,   Cascais, Alcabideche  
475000,1,104,3,3,   Cascais, São Domingos de Rana  
650000,1,260,4,5,   Oeiras, Barcarena  
190000,1,146,2,4,   Alenquer, Alenquer (Santo Estêvão e Triana)  
